Step,Point_Fc,Lower_95,Upper_95
1,24606.878025751063,18264.827555439144,30948.92849606298
2,24606.878025751063,18254.217273334736,30959.53877816739
3,24606.878025751063,18243.62468311273,30970.131368389397
4,24606.878025751063,18233.04969656733,30980.706354934795
5,24606.878025751063,18222.49222622326,30991.263825278864
6,24606.878025751063,18211.952185327315,31001.80386617481
7,24606.878025751063,18201.429487840032,31012.326563662093
8,24606.878025751063,18190.924048427525,31022.8320030746
9,24606.878025751063,18180.435782453387,31033.320269048738
10,24606.878025751063,18169.964605970737,31043.791445531388
11,24606.878025751063,18159.510435714397,31054.245615787728
12,24606.878025751063,18149.07318909315,31064.682862408976
13,24606.878025751063,18138.65278418213,31075.103267319995
14,24606.878025751063,18128.249139715328,31085.506911786797
15,24606.878025751063,18117.86217507819,31095.893876423936
16,24606.878025751063,18107.491810300333,31106.264241201792
17,24606.878025751063,18097.13796604836,31116.618085453763
18,24606.878025751063,18086.800563618785,31126.95548788334
19,24606.878025751063,18076.479524931037,31137.276526571088
20,24606.878025751063,18066.174772520597,31147.581278981528
