Step,Point_Fc,Lower_80,Upper_80,Lower_95,Upper_95
1,24606.878025751063,20460.034117852196,28753.72193364993,18264.827555439144,30948.92849606298
2,24606.878025751063,20453.096427287965,28760.65962421416,18254.217273334736,30959.53877816739
3,24606.878025751063,20446.17030482385,28767.585746678276,18243.62468311273,30970.131368389397
4,24606.878025751063,20439.255692785173,28774.500358716952,18233.04969656733,30980.706354934795
5,24606.878025751063,20432.352533974932,28781.403517527193,18222.49222622326,30991.263825278864
6,24606.878025751063,20425.46077166825,28788.295279833874,18211.952185327315,31001.80386617481
7,24606.878025751063,20418.580349606953,28795.175701895172,18201.429487840032,31012.326563662093
8,24606.878025751063,20411.711211994207,28802.04483950792,18190.924048427525,31022.8320030746
9,24606.878025751063,20404.85330348924,28808.902748012886,18180.435782453387,31033.320269048738
10,24606.878025751063,20398.00656920214,28815.749482299983,18169.964605970737,31043.791445531388
11,24606.878025751063,20391.17095468873,28822.585096813396,18159.510435714397,31054.245615787728
12,24606.878025751063,20384.34640594552,28829.409645556607,18149.07318909315,31064.682862408976
13,24606.878025751063,20377.532869404713,28836.223182097412,18138.65278418213,31075.103267319995
14,24606.878025751063,20370.730291929325,28843.0257595728,18128.249139715328,31085.506911786797
15,24606.878025751063,20363.938620808334,28849.81743069379,18117.86217507819,31095.893876423936
16,24606.878025751063,20357.15780375192,28856.598247750204,18107.491810300333,31106.264241201792
17,24606.878025751063,20350.387788886757,28863.368262615368,18097.13796604836,31116.618085453763
18,24606.878025751063,20343.628524751402,28870.127526750723,18086.800563618785,31126.95548788334
19,24606.878025751063,20336.879960291717,28876.876091210408,18076.479524931037,31137.276526571088
20,24606.878025751063,20330.142044856373,28883.614006645752,18066.174772520597,31147.581278981528
