season,lap,mean_lap_ms
1,1,98958
1,2,90467.5
1,3,89623.5
1,4,89440.5
1,5,89478.5
1,6,88373.5
1,7,88295.5
1,8,87842
1,9,88151
1,10,88145
1,11,87742
1,12,87777.5
1,13,87819
1,14,87767.5
1,15,87889.5
1,16,87848.5
1,17,87831
1,18,87773
1,19,87976
1,20,87930
1,21,87668.5
1,22,87522
1,23,87610.5
2,1,98953
2,2,88658
2,3,88236
2,4,87874
2,5,87858.5
2,6,87611.5
2,7,87669
2,8,87813.5
2,9,87478
2,10,87577
2,11,87397.5
2,12,87328
2,13,87282.5
2,14,87424
2,15,87350
2,16,87257.5
2,17,86930.5
2,18,87014.5
2,19,87797
2,20,87124.5
2,21,87031
2,22,86783
2,23,86737.5
3,1,94291.5
3,2,88997.5
3,3,88648.5
3,4,87863
3,5,87562
3,6,87812.5
3,7,87380
3,8,87509.5
3,9,87097
3,10,87092.5
3,11,87257.5
3,12,87297
3,13,87399.5
3,14,87167
3,15,87953.5
3,16,86979
3,17,90230.5
3,18,87027
3,19,86738.5
3,20,87082
3,21,86884
3,22,86563
3,23,86913.5
4,1,97044
4,2,88854.5
4,3,88242
4,4,88070
4,5,88006
4,6,87781.5
4,7,87652.5
4,8,87747.5
4,9,87407
4,10,87285.5
4,11,87484.5
4,12,87538.5
4,13,87751.5
4,14,87376
4,15,87236
4,16,87465
4,17,87052.5
4,18,86967.5
4,19,87883
4,20,87253
4,21,86950
4,22,87003.5
4,23,87107
5,1,97034
5,2,153280
5,3,149489
5,4,148507
5,5,149794
5,6,150571
5,7,148819
5,8,148003
5,9,148118
5,10,148641
5,11,146472
5,12,88294
5,13,87348
5,14,87221
5,15,86919
5,16,87060
5,17,87173
5,18,87027
5,19,86820
5,20,86735
5,21,86623
5,22,86428
5,23,86432
6,1,91324.5
6,2,87111.5
6,3,86486
6,4,86422.5
6,5,86547.5
6,6,86600.5
6,7,86431
6,8,86119.5
6,9,86888.5
6,10,86546
6,11,86388
6,12,86545
6,13,86570.5
6,14,86787.5
6,15,86153.5
6,16,86992.5
6,17,86047.5
6,18,87566
6,19,99829
6,20,102144.5
6,21,86445
6,22,86575
6,23,86156.5
7,1,90371
7,2,86501.5
7,3,85806
7,4,86366
7,5,85466
7,6,84921.5
7,7,84746
7,8,84784.5
7,9,84569
7,10,84564
7,11,84625
7,12,84541
7,13,84355.5
7,14,84498.5
7,15,84179
7,16,84573
7,17,84636.5
7,18,84500.5
7,19,86546
7,20,96470
7,21,84505
7,22,85213.5
7,23,84269.5
8,1,89125
8,2,83674.5
8,3,82956
8,4,82796
8,5,82609
8,6,82471
8,7,82411.5
8,8,82524.5
8,9,82525.5
8,10,82391.5
8,11,82570.5
8,12,82205
8,13,82018.5
8,14,84369.5
8,15,97393
8,16,96050.5
8,17,83063.5
8,18,82923.5
8,19,82708
8,20,82724.5
8,21,82567
8,22,82559.5
8,23,82791
9,1,103006.5
9,2,92240.5
9,3,92349
9,4,90034
9,5,91837.5
9,6,98289
9,7,85482
9,8,84890
9,9,84465
9,10,84084.5
9,11,83707.5
9,12,83107
9,13,83451
9,14,83665
9,15,86168.5
9,16,96122.5
9,17,83755
9,18,83654.5
9,19,84167
9,20,83823.5
9,21,83203
9,22,83527
9,23,82776
10,1,90582.5
10,2,85183
10,3,84367.5
10,4,84747.5
10,5,83746
10,6,84115.5
10,7,84034.5
10,8,83989
10,9,83780.5
10,10,83953
10,11,83721
10,12,83928.5
10,13,85157
10,14,97830
10,15,96883
10,16,84591
10,17,84642.5
10,18,84228.5
10,19,84398.5
10,20,84194.5
10,21,84613.5
10,22,84537
10,23,84900
11,1,89058.5
11,2,84686
11,3,84144
11,4,84299.5
11,5,83868.5
11,6,83873
11,7,83846
11,8,83701
11,9,83620.5
11,10,83773
11,11,83694.5
11,12,83534
11,13,83280
11,14,83307
11,15,83232
11,16,83245
11,17,84815.5
11,18,96339.5
11,19,85211.5
11,20,96076.5
11,21,83793.5
11,22,83811.5
11,23,84030
12,1,89213
12,2,85065
12,3,150686
12,4,141622.5
12,5,134499.5
12,6,134598
12,7,85357
12,8,84288
12,9,87345.5
12,10,112599.5
12,11,84285
12,12,83885
12,13,84043
12,14,83794
12,15,83681
12,16,83909
12,17,83797
12,18,83798
12,19,83573
12,20,83518
12,21,83370
12,22,83916
12,23,83481
13,1,168119
13,2,140538.5
13,3,105232
13,4,100134.5
13,5,97863.5
13,6,96878
13,7,97125.5
13,8,97046.5
13,9,96577
13,10,96694
13,11,97448
13,12,97021.5
13,13,97479
13,14,98636
13,15,95734.5
13,16,95920
13,17,96169
13,18,95679
13,19,95926.5
13,20,95762
13,21,95724
13,22,98633.5
13,23,110012
14,1,94373.5
14,2,88920
14,3,88467.5
14,4,87217
14,5,86999
14,6,87074.5
14,7,86805
14,8,86568.5
14,9,86949.5
14,10,86920
14,11,86550
14,12,86613
14,13,86348.5
14,14,86173.5
14,15,86684.5
14,16,86091
14,17,85949.5
14,18,85889
14,19,87515.5
14,20,98076
14,21,86339
14,22,86504
14,23,86312.5
15,1,91666.5
15,2,88250.5
15,3,87699.5
15,4,87376
15,5,87324.5
15,6,87025
15,7,87088
15,8,87112.5
15,9,87140.5
15,10,87039.5
15,11,87238
15,12,87405.5
15,13,86937.5
15,14,86518
15,15,86475.5
15,16,86251
15,17,86275
15,18,86289
15,19,86481
15,20,86228
15,21,86487
15,22,85988
15,23,86221.5
16,1,120964.5
16,2,142410.5
16,3,138698
16,4,91031
16,5,95564.5
16,6,91593
16,7,90431
16,8,89521.5
16,9,89523
16,10,89216
16,11,89898
16,12,89266.5
16,13,89213
16,14,89098
16,15,89284
16,16,89537.5
16,17,89515.5
16,18,89270.5
16,19,91307
16,20,98749.5
16,21,91021
16,22,98007.5
16,23,88668
17,1,96049.5
17,2,91440.5
17,3,91230
17,4,91029.5
17,5,90818.5
17,6,90754.5
17,7,90812
17,8,90717
17,9,90598.5
17,10,90764
17,11,90635
17,12,90567.5
17,13,90485
17,14,90550
17,15,90527
17,16,90554
17,17,90559
17,18,90803
17,19,93275.5
17,20,101568.5
17,21,99891.5
17,22,91113.5
17,23,90375.5
18,1,94097
18,2,90780.5
18,3,90220.5
18,4,89731.5
18,5,89625.5
18,6,89433
18,7,89494
18,8,90008.5
18,9,89601.5
18,10,89514
18,11,89518.5
18,12,89427
18,13,89343.5
18,14,89414
18,15,89571.5
18,16,89340
18,17,89295.5
18,18,89239.5
18,19,89159
18,20,89118.5
18,21,89202
18,22,89063.5
18,23,88978.5
19,1,97647.5
19,2,91603.5
19,3,90852
19,4,90601.5
19,5,90806.5
19,6,90454
19,7,90810.5
19,8,90475
19,9,90882
19,10,90699.5
19,11,90666
19,12,90580.5
19,13,90388.5
19,14,90351
19,15,90368
19,16,90651
19,17,90456.5
19,18,90730.5
19,19,90612
19,20,92703.5
19,21,103376
19,22,100524
19,23,89863
20,1,95902.5
20,2,89738.5
20,3,89903.5
20,4,89611
20,5,89537
20,6,89115
20,7,88874
20,8,88947
20,9,88975
20,10,88990
20,11,88932
20,12,89057.5
20,13,88876.5
20,14,88981.5
20,15,88955.5
20,16,88994.5
20,17,89099.5
20,18,89121.5
20,19,89181.5
20,20,89239.5
20,21,89298.5
20,22,89207
20,23,89530.5
21,1,90344
21,2,88108.5
21,3,88070
21,4,87639.5
21,5,87592.5
21,6,87614
21,7,87622
21,8,87951.5
21,9,87846
21,10,87689.5
21,11,87915.5
21,12,88065.5
21,13,87949.5
21,14,88293.5
21,15,90566
21,16,100362
21,17,98094.5
21,18,87206
21,19,87088
21,20,87122.5
21,21,87173.5
21,22,87052.5
21,23,87020
22,1,92469
22,2,88122
22,3,87974.5
22,4,86828.5
22,5,86898
22,6,86822.5
22,7,87265
22,8,86725
22,9,86330.5
22,10,86226
22,11,86172
22,12,86050
22,13,86193.5
22,14,86191.5
22,15,88359.5
22,16,96185.5
22,17,85720.5
22,18,85912.5
22,19,85926
22,20,86224
22,21,86286.5
22,22,85962
22,23,86088
23,1,118796.5
23,2,137697.5
23,3,124210
23,4,85440.5
23,5,85771.5
23,6,85573.5
23,7,85256.5
23,8,86078.5
23,9,85676.5
23,10,85074.5
23,11,84857.5
23,12,84916
23,13,84868
23,14,85031.5
23,15,85160
23,16,85106.5
23,17,85360.5
23,18,84896.5
23,19,84928
23,20,86834.5
23,21,93722.5
23,22,84259.5
23,23,84295
24,1,88018
24,2,85360.5
24,3,85038
24,4,84939.5
24,5,85012.5
24,6,97969
24,7,99962.5
24,8,85218
24,9,85036
24,10,84996
24,11,84890
24,12,87064
24,13,98836.5
24,14,85022.5
24,15,85058.5
24,16,84992
24,17,85272.5
24,18,84912
24,19,85073
24,20,86820
24,21,95049.5
24,22,85003.5
24,23,84983.5
25,1,95579
25,2,87968
25,3,87285.5
25,4,86865
25,5,87337
25,6,113651
25,7,86527
25,8,86623
25,9,86752
25,10,86405
25,11,86409
25,12,86377
25,13,86557
25,14,86709
25,15,86721
25,16,86779
25,17,93330
25,18,107411
25,19,86026
25,20,115933
25,21,117406
25,22,97614
25,23,115578
26,1,108783
26,2,87944
26,3,86342
26,4,86874
26,5,86638
26,6,86739
26,7,86978.5
26,8,86801.5
26,9,88074
26,10,87130
26,11,86995
26,12,87001
26,13,86833
26,14,87025.5
26,15,87152
26,16,87046
26,17,86969.5
26,18,87024
26,19,86827.5
26,20,87139
26,21,87596.5
26,22,87430
26,23,87341
27,1,92266.5
27,2,88110
27,3,86945.5
27,4,86423
27,5,86222.5
27,6,85951
27,7,85972
27,8,86188
27,9,86516
27,10,86528.5
27,11,86352.5
27,12,109434.5
27,13,96892.5
27,14,86040
27,15,86077
27,16,86009
27,17,85728.5
27,18,86260.5
27,19,86281
27,20,86166
27,21,86146
27,22,86178
27,23,86073.5
28,1,87936
28,2,86159
28,3,85847.5
28,4,86046
28,5,86344.5
