Step,Point_Fc,Lower_80,Upper_80,Lower_95,Upper_95
1,85824.89496219537,76128.20888117942,95521.5810432113,70995.09333801667,100654.69658637406
2,87000.09153242572,75006.30924081648,98993.87382403496,68657.18441734696,105342.99864750449
3,87855.5742433003,74807.44841292953,100903.70007367108,67900.18783447813,107810.96065212248
4,88478.32169436025,74904.64643584371,102051.99695287678,67719.17679547405,109237.46659324644
5,88931.64983632255,75087.56598450584,102775.73368813927,67758.95068162048,110104.34899102463
6,89261.6494275617,75276.39279336036,103246.90606176305,67873.04513372181,110650.25372140159
7,89501.87217161332,75442.38137736797,103561.36296585866,67999.73652716639,111004.00781606024
8,89676.74198446063,75578.07226706563,103775.41170185564,68114.68734776172,111238.79662115955
9,89804.03822181729,75684.65130160272,103923.42514203186,68210.29935759415,111397.77708604043
10,89896.70334097829,75766.35049729937,104027.05618465721,68286.19354406293,111507.21313789365
11,89964.15878575365,75827.99844679025,104100.31912471705,68344.76719125481,111583.55038025249
12,90013.26288307788,75874.02606596572,104152.49970019005,68389.16622127396,111637.35954488181
13,90049.00814251625,75908.1413427023,104189.87494233019,68422.41863728972,111675.59764774278
14,90075.02885447192,75933.29838801618,104216.75932092767,68447.11848510064,111702.9392238432
15,90093.9705955956,75951.78248563802,104236.15870555319,68465.36032088654,111722.58087030466
16,90107.75920973526,75965.3285962878,104250.18982318272,68478.77805794324,111736.74036152728
17,90117.79661224494,75975.23749565754,104260.35572883235,68488.6189318598,111746.97429263008
18,90125.10332545926,75982.47611435162,104267.7305365669,68495.8215034923,111754.38514742622
19,90130.42223719413,75987.75894230799,104273.08553208027,68501.0852298502,111759.75924453806
20,90134.2941316032,75991.6117156289,104276.97654757749,68504.92788107846,111763.66038212793
21,90137.11267175997,75994.420123356,104279.80522016394,68507.7309250213,111766.49441849864
22,90139.16442415197,75996.46650648346,104281.86234182048,68509.77446583178,111768.55438247215
23,90140.65799445569,75997.95723156541,104283.35875734597,68511.26368474434,111770.05230416704
24,90141.74523688362,75999.04296628445,104284.4475074828,68512.34862133049,111771.14185243676
25,90142.5366934988,75999.83362395091,104285.23976304669,68513.13885605904,111771.93453093855
26,90143.11283324241,76000.40934032429,104285.81632616054,68513.71434831375,111772.51131817108
27,90143.53223336849,76000.82851610259,104286.2359506344,68514.13340532951,111772.93106140746
28,90143.8375351077,76001.13369895786,104286.54137125754,68514.43852525142,111773.23654496398
29,90144.05977908467,76001.35587993712,104286.76367823221,68514.66067288173,111773.4588852876
30,90144.22156127899,76001.51762874839,104286.92549380958,68514.82240402108,111773.6207185369
31,90144.33933040261,76001.63538018204,104287.04328062318,68514.9401460902,111773.73851471502
32,90144.42506027258,76001.72110067791,104287.12901986725,68515.02586162373,111773.82425892144
33,90144.48746721233,76001.78350265024,104287.19143177441,68515.08826096647,111773.88667345818
34,90144.53289625743,76001.82892906306,104287.23686345179,68515.13368598586,111773.932106529
35,90144.5659662677,76001.86199767847,104287.26993485694,68515.16675386287,111773.96517867254
36,90144.59003953576,76001.88607020737,104287.29400886415,68515.19082600049,111773.98925307103
37,90144.6075636378,76001.90359391773,104287.31153335786,68515.20834950349,111774.0067777721
38,90144.62032028353,76001.91635035591,104287.32429021115,68515.22110583179,111774.01953473527
39,90144.62960646607,76001.92563642847,104287.33357650368,68515.23039184613,111774.02882108602
40,90144.63636632975,76001.93239623385,104287.34033642565,68515.23715162068,111774.03558103883
41,90144.64128716313,76001.93731703635,104287.34525728991,68515.2420724068,111774.04050191946
42,90144.64486927695,76001.9408991338,104287.3488394201,68515.24565449561,111774.04408405829
43,90144.64747687173,76001.94350671991,104287.35144702355,68515.24826207712,111774.04669166634
44,90144.64937506673,76001.94540491032,104287.35334522313,68515.25016026509,111774.04858986837
45,90144.65075685515,76001.9467866963,104287.354727014,68515.25154204978,111774.04997166051
46,90144.6517627261,76001.94779256597,104287.35573288624,68515.25254791878,111774.05097753344
